sample_id,domain,leakage_group,leakage_reasons,split,validation_status
q158,Kubernetes,group_133,sample_id_only,train,ok
q159,Kubernetes,group_134,sample_id_only,train,ok
q160,Kubernetes,group_135,sample_id_only,train,ok
q161,Kubernetes,group_136,sample_id_only,train,ok
q162,Kubernetes,group_137,sample_id_only,train,ok
q163,Kubernetes,group_138,sample_id_only,train,ok
q164,Kubernetes,group_139,sample_id_only,train,ok
q165,Kubernetes,group_140,sample_id_only,train,ok
q166,Kubernetes,group_141,sample_id_only,train,ok
q167,Kubernetes,group_142,sample_id_only,train,ok
q168,Kubernetes,group_143,sample_id_only,train,ok
q169,Kubernetes,group_144,sample_id_only,train,ok
q170,Kubernetes,group_145,sample_id_only,train,ok
q171,Kubernetes,group_146,sample_id_only,train,ok
q172,Kubernetes,group_147,sample_id_only,train,ok
q173,Kubernetes,group_148,sample_id_only,train,ok
q174,Kubernetes,group_149,sample_id_only,train,ok
q175,Kubernetes,group_150,sample_id_only,train,ok
q176,Kubernetes,group_151,sample_id_only,train,ok
q177,Kubernetes,group_152,sample_id_only,train,ok
q178,Kubernetes,group_153,sample_id_only,train,ok
q179,Kubernetes,group_154,sample_id_only,train,ok
q180,Kubernetes,group_155,sample_id_only,test,ok
q181,Kubernetes,group_156,sample_id_only,train,ok
q182,Kubernetes,group_157,sample_id_only,train,ok
q183,Kubernetes,group_158,sample_id_only,train,ok
q184,Kubernetes,group_159,sample_id_only,train,ok
q185,Kubernetes,group_160,sample_id_only,train,ok
q186,Kubernetes,group_161,sample_id_only,train,ok
q187,Kubernetes,group_162,sample_id_only,train,ok
q188,Kubernetes,group_163,sample_id_only,train,ok
q189,Kubernetes,group_164,sample_id_only,train,ok
q190,Kubernetes,group_165,sample_id_only,train,ok
q191,Kubernetes,group_166,sample_id_only,train,ok
q192,Kubernetes,group_167,sample_id_only,train,ok
q193,Kubernetes,group_168,sample_id_only,train,ok
q194,Kubernetes,group_169,sample_id_only,test,ok
q195,Kubernetes,group_170,sample_id_only,test,ok
q196,Kubernetes,group_171,sample_id_only,train,ok
q197,Kubernetes,group_172,sample_id_only,train,ok
q198,Kubernetes,group_173,sample_id_only,train,ok
q199,Kubernetes,group_174,sample_id_only,train,ok
q200,Kubernetes,group_175,sample_id_only,train,ok
q201,Kubernetes,group_176,sample_id_only,train,ok
q202,Kubernetes,group_177,sample_id_only,train,ok
q203,Kubernetes,group_178,sample_id_only,train,ok
q204,Kubernetes,group_179,sample_id_only,train,ok
q205,Kubernetes,group_180,sample_id_only,test,ok
q206,Kubernetes,group_181,sample_id_only,train,ok
q207,Kubernetes,group_182,sample_id_only,train,ok
q208,Kubernetes,group_183,sample_id_only,train,ok
q209,Kubernetes,group_184,sample_id_only,train,ok
q210,Kubernetes,group_185,sample_id_only,train,ok
q211,Kubernetes,group_186,sample_id_only,train,ok
q212,Kubernetes,group_187,exact_yaml_duplicate,test,ok
q213,Kubernetes,group_187,exact_yaml_duplicate,test,ok
q214,Kubernetes,group_188,sample_id_only,train,ok
q215,Kubernetes,group_189,sample_id_only,train,ok
q216,Kubernetes,group_190,sample_id_only,train,ok
q217,Kubernetes,group_191,sample_id_only,train,ok
q218,Kubernetes,group_192,sample_id_only,train,ok
q219,Kubernetes,group_193,sample_id_only,train,ok
q220,Kubernetes,group_194,sample_id_only,train,ok
q221,Kubernetes,group_195,sample_id_only,train,ok
q222,Kubernetes,group_196,sample_id_only,train,ok
q223,Kubernetes,group_197,sample_id_only,train,ok
q224,Kubernetes,group_198,exact_yaml_duplicate,test,ok
q225,Kubernetes,group_198,exact_yaml_duplicate,test,ok
q226,Kubernetes,group_199,sample_id_only,train,ok
q227,Kubernetes,group_200,sample_id_only,train,ok
q228,Kubernetes,group_201,sample_id_only,train,ok
q229,Kubernetes,group_202,sample_id_only,train,ok
q230,Kubernetes,group_203,sample_id_only,train,ok
q231,Kubernetes,group_204,sample_id_only,train,ok
q232,Kubernetes,group_205,sample_id_only,train,ok
q233,Kubernetes,group_206,sample_id_only,train,ok
q234,Kubernetes,group_207,sample_id_only,train,ok
q235,Kubernetes,group_208,sample_id_only,train,ok
q236,Kubernetes,group_209,sample_id_only,train,ok
q237,Kubernetes,group_210,sample_id_only,train,ok
q238,Kubernetes,group_211,sample_id_only,train,ok
q239,Kubernetes,group_212,sample_id_only,train,ok
q240,Kubernetes,group_213,sample_id_only,train,ok
q241,Kubernetes,group_214,sample_id_only,train,ok
q242,Kubernetes,group_215,sample_id_only,train,ok
q243,Kubernetes,group_216,sample_id_only,train,ok
q244,Kubernetes,group_217,sample_id_only,train,ok
q245,Kubernetes,group_218,sample_id_only,train,ok
q246,Kubernetes,group_219,sample_id_only,train,ok
q247,Kubernetes,group_220,sample_id_only,train,ok
q248,Kubernetes,group_221,sample_id_only,train,ok
q249,Kubernetes,group_222,sample_id_only,train,ok
q250,Kubernetes,group_223,sample_id_only,train,ok
q251,Kubernetes,group_224,sample_id_only,train,ok
q252,Kubernetes,group_225,sample_id_only,train,ok
q253,Kubernetes,group_226,sample_id_only,train,ok
q254,Kubernetes,group_227,sample_id_only,train,ok
q255,Kubernetes,group_228,sample_id_only,train,ok
q256,Kubernetes,group_229,sample_id_only,train,ok
q257,Kubernetes,group_230,sample_id_only,test,ok
q258,Kubernetes,group_231,sample_id_only,train,ok
q259,Kubernetes,group_232,sample_id_only,train,ok
q260,Kubernetes,group_233,sample_id_only,train,ok
q261,Kubernetes,group_234,sample_id_only,train,ok
q262,Kubernetes,group_235,sample_id_only,train,ok
q263,Kubernetes,group_236,sample_id_only,train,ok
q264,Kubernetes,group_237,sample_id_only,test,ok
q265,Kubernetes,group_238,sample_id_only,train,ok
q266,Kubernetes,group_239,sample_id_only,train,ok
q267,Kubernetes,group_240,sample_id_only,train,ok
q268,Kubernetes,group_241,sample_id_only,test,ok
q269,Kubernetes,group_242,sample_id_only,train,ok
q270,Kubernetes,group_243,sample_id_only,train,ok
q271,Kubernetes,group_244,sample_id_only,train,ok
q272,Kubernetes,group_245,sample_id_only,train,ok
q273,Kubernetes,group_246,sample_id_only,train,ok
q274,Kubernetes,group_247,sample_id_only,train,ok
q275,Kubernetes,group_248,sample_id_only,train,ok
q276,Kubernetes,group_249,sample_id_only,train,ok
q277,Kubernetes,group_250,sample_id_only,train,ok
q278,Kubernetes,group_251,sample_id_only,train,ok
q279,Kubernetes,group_252,sample_id_only,test,ok
q280,Kubernetes,group_253,sample_id_only,train,ok
q281,Kubernetes,group_254,sample_id_only,train,ok
q282,Kubernetes,group_255,sample_id_only,train,ok
q283,Kubernetes,group_256,sample_id_only,train,ok
q284,Kubernetes,group_257,sample_id_only,train,ok
