sample_id,split,primary_kind,resource_count,question_word_count,question_simplified_word_count,prompt_pair_similarity,yaml_max_depth,yaml_mapping_nodes,yaml_list_nodes,yaml_scalar_nodes,yaml_total_nodes,target_yaml_char_count,leakage_reasons,duplicate_yaml_group_size,block_count,max_block_level,metadata,spec,containers,image,ports,env,volumes,volumeMounts,selector,template,data,rules,subjects,roleRef
q21,validation,DaemonSet,1,58,48,0.808324,13,15,4,10,29,616,exact_yaml_duplicate,2,25,8,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q22,validation,DaemonSet,1,62,51,0.780488,9,11,2,10,23,354,exact_yaml_duplicate,2,20,5,True,True,True,True,True,False,False,False,True,True,False,False,False,False
q23,test,DaemonSet,1,34,30,0.700885,7,11,2,9,22,442,exact_yaml_duplicate,2,19,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q24,validation,DaemonSet,1,49,38,0.63097,9,13,3,12,28,473,exact_yaml_duplicate,3,24,5,True,True,True,True,False,False,True,True,True,True,False,False,False,False
q25,train,DaemonSet,1,28,18,0.792683,7,10,1,8,19,307,sample_id_only,1,17,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q26,train,DaemonSet,1,36,27,0.834734,9,12,1,10,23,378,sample_id_only,1,21,6,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q27,validation,DaemonSet,1,58,36,0.371711,10,12,3,14,29,575,exact_yaml_duplicate,2,27,6,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q28,validation,DaemonSet,1,88,75,0.623805,10,12,3,14,29,575,exact_yaml_duplicate,2,27,6,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q29,validation,DaemonSet,1,84,32,0.223919,9,11,3,12,26,464,exact_yaml_duplicate,2,23,5,True,True,True,True,False,True,False,False,True,True,False,False,False,False
q30,validation,DaemonSet,1,67,56,0.654774,9,11,3,12,26,464,exact_yaml_duplicate,2,23,5,True,True,True,True,False,True,False,False,True,True,False,False,False,False
q31,validation,ConfigMap,2,120,70,0.166792,9,16,4,18,38,697,exact_yaml_duplicate,2,33,5,True,True,True,True,False,False,True,True,True,True,True,False,False,False
q32,validation,ConfigMap,2,89,139,0.519979,9,16,4,18,38,697,exact_yaml_duplicate,2,33,5,True,True,True,True,False,False,True,True,True,True,True,False,False,False
q33,validation,ServiceAccount,2,81,41,0.160494,8,12,2,14,28,544,exact_yaml_duplicate,2,25,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q34,validation,DaemonSet,1,36,33,0.758929,8,11,4,11,26,414,exact_yaml_duplicate,2,23,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q35,validation,ServiceAccount,2,98,50,0.64255,8,12,2,14,28,544,exact_yaml_duplicate,2,25,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q36,validation,DaemonSet,1,85,39,0.094763,8,11,3,15,29,524,exact_yaml_duplicate,2,26,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q37,validation,DaemonSet,1,86,49,0.588348,8,11,3,15,29,524,exact_yaml_duplicate,2,26,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q38,validation,DaemonSet,1,93,54,0.455724,8,11,3,16,30,545,exact_yaml_duplicate,2,27,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q39,validation,DaemonSet,1,140,103,0.682814,8,11,3,16,30,545,exact_yaml_duplicate,2,27,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q40,test,DaemonSet,1,31,28,0.950392,7,10,1,9,20,381,exact_yaml_duplicate,2,18,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q41,validation,DaemonSet,1,48,29,0.554935,9,16,4,14,34,607,exact_yaml_duplicate,2,29,6,True,True,True,True,True,False,True,True,True,True,False,False,False,False
q42,validation,DaemonSet,1,53,34,0.198807,9,12,3,13,28,519,exact_yaml_duplicate,2,26,6,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q43,validation,DaemonSet,2,47,30,0.238636,9,17,3,20,40,708,exact_yaml_duplicate,2,35,5,True,True,True,True,True,False,False,False,True,True,False,False,False,False
q44,validation,DaemonSet,1,57,42,0.496413,9,15,3,16,34,672,exact_yaml_duplicate,2,29,6,True,True,True,True,True,True,False,False,True,True,False,False,False,False
q45,test,DaemonSet,1,30,28,0.915601,8,11,2,10,23,371,exact_yaml_duplicate,2,21,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q46,test,DaemonSet,1,58,40,0.6675,7,10,1,9,20,381,exact_yaml_duplicate,2,18,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q47,validation,DaemonSet,1,73,66,0.839232,9,16,4,14,34,601,exact_yaml_duplicate,2,29,6,True,True,True,True,True,False,True,True,True,True,False,False,False,False
q48,validation,DaemonSet,1,77,68,0.824663,9,12,3,13,28,513,exact_yaml_duplicate,2,26,6,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q49,validation,DaemonSet,2,87,72,0.693247,9,17,3,20,40,701,exact_yaml_duplicate,2,35,5,True,True,True,True,True,False,False,False,True,True,False,False,False,False
q50,validation,DaemonSet,1,95,58,0.566008,9,15,3,16,34,666,exact_yaml_duplicate,2,29,6,True,True,True,True,True,True,False,False,True,True,False,False,False,False
q51,train,DaemonSet,1,15,11,0.75,7,10,1,7,18,263,sample_id_only,1,16,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q52,train,DaemonSet,1,64,56,0.803818,9,15,6,17,38,658,sample_id_only,1,32,5,True,True,True,True,False,False,True,True,True,True,False,False,False,False
q53,train,DaemonSet,1,52,21,0.603636,7,11,1,9,21,381,sample_id_only,1,19,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q54,validation,DaemonSet,1,48,48,1.0,8,11,4,14,29,442,exact_yaml_duplicate,2,26,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q55,train,DaemonSet,1,21,15,0.838174,7,10,1,8,19,288,sample_id_only,1,17,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q56,train,DaemonSet,1,37,35,0.915423,7,12,2,13,27,480,sample_id_only,1,23,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q57,train,DaemonSet,1,43,24,0.74463,7,14,2,15,31,565,sample_id_only,1,27,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q58,train,DaemonSet,1,45,25,0.523457,7,11,1,8,20,310,sample_id_only,1,18,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q59,train,DaemonSet,1,49,36,0.723748,7,11,1,8,20,294,sample_id_only,1,18,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q60,train,DaemonSet,1,90,63,0.765957,9,15,1,16,32,583,sample_id_only,1,30,6,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q61,test,DaemonSet,1,83,72,0.891003,9,20,3,21,44,818,sample_id_only,1,40,6,True,True,True,True,False,False,True,True,True,True,False,False,False,False
q62,train,ConfigMap,2,74,56,0.678607,9,20,3,19,42,686,sample_id_only,1,35,5,True,True,True,True,False,False,True,True,True,True,True,False,False,False
q63,test,DaemonSet,1,41,30,0.834101,7,11,3,9,23,356,exact_yaml_duplicate,2,21,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q64,validation,DaemonSet,1,37,23,0.734783,13,15,4,10,29,616,exact_yaml_duplicate,2,25,8,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q65,validation,DaemonSet,1,34,23,0.867816,9,11,2,10,23,354,exact_yaml_duplicate,2,20,5,True,True,True,True,True,False,False,False,True,True,False,False,False,False
q66,validation,DaemonSet,1,38,31,0.819444,9,13,3,12,28,473,exact_yaml_duplicate,3,24,5,True,True,True,True,False,False,True,True,True,True,False,False,False,False
q67,train,Deployment,1,32,24,0.78125,9,14,2,11,27,443,sample_id_only,1,24,6,True,True,True,True,True,False,False,False,True,True,False,False,False,False
q68,test,ServiceAccount,3,92,68,0.12806,9,22,6,29,57,909,sample_id_only,1,49,5,True,True,True,True,False,True,True,True,True,True,False,False,False,False
q69,train,Deployment,1,36,35,0.692153,7,10,1,8,19,278,sample_id_only,1,17,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q70,train,Deployment,1,92,58,0.607362,9,11,2,9,22,311,sample_id_only,1,19,4,True,True,True,True,True,False,False,False,True,True,False,False,False,False
q71,test,PersistentVolumeClaim,2,101,79,0.672377,9,21,5,21,47,795,sample_id_only,1,41,5,True,True,True,True,True,False,True,True,True,True,False,False,False,False
q72,test,Secret,2,89,98,0.790859,11,24,3,27,54,919,sample_id_only,1,46,7,True,True,True,True,True,True,False,False,True,True,True,False,False,False
q73,test,Service,2,80,63,0.770199,11,20,4,21,45,650,sample_id_only,1,40,7,True,True,True,True,True,False,False,False,True,True,False,False,False,False
q74,train,Deployment,1,39,22,0.753769,7,12,1,10,23,314,sample_id_only,1,21,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q75,train,Deployment,1,56,52,0.96063,9,15,1,13,29,447,sample_id_only,1,27,6,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q76,train,Deployment,1,56,37,0.369478,9,14,2,14,30,467,sample_id_only,1,27,6,True,True,True,True,True,False,False,False,True,True,False,False,False,False
q77,train,Deployment,1,44,26,0.585242,13,18,5,14,37,626,sample_id_only,1,32,8,True,True,True,True,True,False,False,False,True,True,False,False,False,False
q78,test,Deployment,1,94,85,0.577644,9,14,2,16,32,558,sample_id_only,1,29,6,True,True,True,True,True,False,False,False,True,True,False,False,False,False
q79,train,Deployment,1,49,41,0.790419,9,11,2,9,22,315,sample_id_only,1,19,4,True,True,True,True,True,False,False,False,True,True,False,False,False,False
q80,train,Deployment,1,55,44,0.693151,9,11,2,9,22,315,sample_id_only,1,19,4,True,True,True,True,True,False,False,False,True,True,False,False,False,False
q81,test,Service,2,122,79,0.099688,9,20,6,21,47,703,sample_id_only,1,39,5,True,True,True,True,True,True,True,True,True,True,False,False,False,False
q82,train,Deployment,1,76,53,0.572707,11,14,3,12,29,421,sample_id_only,1,26,7,True,True,True,True,True,False,False,False,True,True,False,False,False,False
q83,test,Deployment,1,110,85,0.868006,9,20,4,19,43,686,sample_id_only,1,35,5,True,True,True,True,True,False,True,False,True,True,False,False,False,False
q84,train,Deployment,1,34,26,0.789969,9,12,2,10,24,352,sample_id_only,1,21,4,True,True,True,True,True,False,False,False,True,True,False,False,False,False
q85,train,Deployment,1,59,60,0.722154,9,13,1,11,25,399,sample_id_only,1,23,6,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q86,train,Endpoints,1,21,20,0.921933,6,6,3,6,15,150,sample_id_only,1,10,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False
q87,train,CustomResourceDefinition,1,22,14,0.66129,11,11,2,15,28,511,sample_id_only,1,26,8,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q88,train,HorizontalPodAutoscaler,1,41,24,0.492754,4,4,0,9,13,260,sample_id_only,1,12,2,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q89,test,Deployment,3,104,68,0.710628,9,27,4,28,59,925,sample_id_only,1,52,6,True,True,True,True,True,False,False,False,True,True,False,False,False,False
q90,train,Ingress,1,54,22,0.528897,11,10,4,11,25,405,sample_id_only,1,21,7,True,True,False,False,False,False,False,False,False,False,False,True,False,False
q91,train,Ingress,1,44,20,0.548463,11,9,2,7,18,269,sample_id_only,1,15,7,True,True,False,False,False,False,False,False,False,False,False,True,False,False
q92,train,Ingress,1,62,36,0.119114,10,10,2,11,23,478,sample_id_only,1,20,6,True,True,False,False,False,False,False,False,False,False,False,True,False,False
q93,train,Ingress,1,46,38,0.736842,11,15,3,13,31,505,sample_id_only,1,26,7,True,True,False,False,False,False,False,False,False,False,False,True,False,False
q94,train,Ingress,1,30,13,0.704,11,13,2,12,27,454,sample_id_only,1,23,7,True,True,False,False,False,False,False,False,False,False,False,True,False,False
q95,train,Ingress,1,30,20,0.826748,11,10,4,10,24,386,sample_id_only,1,20,7,True,True,False,False,False,False,False,False,False,False,False,True,False,False
q96,train,Ingress,1,86,79,0.367636,11,10,2,8,20,332,sample_id_only,1,17,7,True,True,False,False,False,False,False,False,False,False,False,True,False,False
q97,train,Ingress,1,64,38,0.237691,11,14,4,13,31,475,sample_id_only,1,26,7,True,True,False,False,False,False,False,False,False,False,False,True,False,False
q98,train,Ingress,1,33,29,0.926966,11,9,2,7,18,259,sample_id_only,1,15,7,True,True,False,False,False,False,False,False,False,False,False,True,False,False
q99,train,Ingress,1,65,36,0.404007,11,14,2,12,28,484,sample_id_only,1,24,7,True,True,False,False,False,False,False,False,False,False,False,True,False,False
q100,train,Job,1,21,21,0.618182,8,7,2,10,19,280,sample_id_only,1,17,4,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q101,train,Job,1,79,67,0.911243,8,9,5,14,28,509,sample_id_only,1,24,4,True,True,True,True,False,False,False,False,False,True,False,True,False,False
q102,train,Job,1,59,45,0.662011,8,7,2,10,19,284,sample_id_only,1,17,4,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q103,test,Service,2,120,96,0.694752,8,10,2,18,30,1142,sample_id_only,1,27,4,True,True,True,True,False,False,False,False,True,True,False,False,False,False
q104,train,Job,1,70,50,0.268562,9,11,7,22,40,760,sample_id_only,1,34,5,True,True,True,True,False,False,True,True,False,True,False,False,False,False
q105,train,Job,1,82,68,0.785957,8,9,4,15,28,425,sample_id_only,1,25,4,True,True,True,True,False,False,False,False,False,True,False,True,False,False
q106,train,Job,1,70,57,0.707466,8,9,4,14,27,413,sample_id_only,1,23,4,True,True,True,True,False,False,False,False,False,True,False,True,False,False
q107,train,Job,1,72,51,0.669963,8,9,3,11,23,334,sample_id_only,1,19,4,True,True,True,True,False,False,False,False,False,True,False,True,False,False
q108,train,Job,1,36,27,0.8,8,9,2,10,21,433,sample_id_only,1,19,4,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q109,train,Job,1,43,40,0.902857,8,9,2,12,23,474,sample_id_only,1,21,4,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q110,train,Job,2,25,21,0.757576,8,12,4,18,34,503,sample_id_only,1,30,4,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q111,train,Job,1,58,43,0.246246,8,7,2,9,18,275,sample_id_only,1,16,4,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q112,train,Job,1,33,24,0.620253,8,6,3,11,20,295,sample_id_only,1,18,4,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q113,train,Job,1,30,25,0.802469,8,6,2,13,21,312,sample_id_only,1,19,4,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q114,train,Job,1,43,39,0.412698,8,6,2,10,18,264,sample_id_only,1,16,4,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q115,train,Job,1,37,23,0.716253,8,6,2,12,20,341,sample_id_only,1,18,4,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q116,train,Job,1,39,27,0.637755,8,6,2,10,18,327,sample_id_only,1,16,4,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q117,train,Job,1,42,28,0.757225,9,8,2,12,22,330,sample_id_only,1,20,6,True,True,True,True,False,False,False,False,False,True,False,False,False,False
q118,train,Job,1,96,69,0.818433,8,9,5,16,30,565,sample_id_only,1,27,4,True,True,True,True,False,False,False,False,False,True,False,True,False,False
q119,train,LimitRange,1,26,16,0.629032,6,6,1,6,13,171,sample_id_only,1,11,3,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q120,train,LimitRange,1,40,21,0.46281,6,7,1,7,15,184,sample_id_only,1,12,3,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q121,train,LimitRange,1,48,24,0.655889,6,6,1,8,15,187,sample_id_only,1,13,3,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q122,test,LimitRange,1,46,16,0.5,6,7,1,9,17,235,exact_yaml_duplicate,2,14,3,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q123,test,LimitRange,1,58,42,0.556962,6,7,1,9,17,231,exact_yaml_duplicate,2,14,3,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q124,train,LimitRange,1,31,12,0.50996,6,6,1,6,13,187,sample_id_only,1,11,3,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q125,train,PersistentVolume,1,35,21,0.685714,4,5,1,7,13,204,sample_id_only,1,12,2,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q126,validation,PersistentVolume,1,50,35,0.702703,10,9,4,12,25,460,exact_yaml_duplicate,2,22,5,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q127,train,PersistentVolumeClaim,1,54,42,0.642762,5,5,1,6,12,190,sample_id_only,1,11,3,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q128,train,PersistentVolume,1,78,62,0.594385,4,6,1,8,15,230,sample_id_only,1,14,2,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q129,train,PersistentVolume,2,59,48,0.119593,5,13,2,16,31,534,sample_id_only,1,29,3,True,True,False,False,False,False,False,False,True,False,False,False,False,False
q130,train,PersistentVolume,1,70,24,0.559292,4,5,1,8,14,222,sample_id_only,1,13,2,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q131,train,PersistentVolume,3,82,76,0.631922,7,17,6,23,46,737,sample_id_only,1,40,3,True,True,True,True,False,False,True,True,False,False,False,False,False,False
q132,test,PersistentVolume,4,110,91,0.599711,7,24,10,35,69,1097,sample_id_only,1,59,3,True,True,True,True,False,False,True,True,False,False,False,False,False,False
q133,train,PersistentVolumeClaim,1,48,30,0.126354,5,6,1,6,13,189,sample_id_only,1,12,3,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q134,train,PersistentVolume,1,71,23,0.48125,4,6,1,7,14,215,sample_id_only,1,13,2,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q135,train,PersistentVolume,1,35,22,0.743516,4,5,1,8,14,225,sample_id_only,1,13,2,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q136,train,PersistentVolume,1,34,21,0.792746,4,5,1,9,15,268,sample_id_only,1,14,2,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q137,train,PersistentVolume,1,23,17,0.781955,4,5,1,8,14,237,sample_id_only,1,13,2,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q138,train,PersistentVolume,1,63,27,0.54409,4,5,1,11,17,306,sample_id_only,1,16,2,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q139,validation,PersistentVolume,1,90,51,0.244493,4,5,2,12,19,313,exact_yaml_duplicate,2,18,2,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q140,validation,PersistentVolume,1,86,49,0.219327,10,9,4,12,25,460,exact_yaml_duplicate,2,22,5,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q141,train,PersistentVolume,2,49,37,0.610635,5,11,2,14,27,428,sample_id_only,1,25,3,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q142,validation,PersistentVolume,1,62,42,0.681592,4,5,2,12,19,313,exact_yaml_duplicate,2,18,2,True,True,False,False,False,False,False,False,False,False,False,False,False,False
q143,train,Pod,1,70,60,0.741935,7,5,4,11,20,297,sample_id_only,1,17,3,True,True,True,True,False,True,False,False,False,False,False,False,False,False
q144,train,Pod,1,97,99,0.776417,7,9,4,15,28,428,sample_id_only,1,24,3,True,True,True,True,False,False,True,True,False,False,False,False,False,False
q145,train,Pod,1,29,16,0.588235,7,5,2,6,13,150,sample_id_only,1,10,2,True,True,True,True,True,False,False,False,False,False,False,False,False,False
q146,train,ConfigMap,2,53,36,0.787879,8,9,3,14,26,341,sample_id_only,1,22,4,True,True,True,True,False,False,False,False,False,False,True,False,False,False
q147,train,ConfigMap,2,41,34,0.654292,7,10,4,16,30,404,sample_id_only,1,25,3,True,True,True,True,False,False,True,True,False,False,True,False,False,False
q148,train,ConfigMap,3,59,50,0.713528,7,16,4,24,44,599,sample_id_only,1,36,3,True,True,True,True,False,False,True,True,False,False,True,False,False,False
q149,train,ConfigMap,2,56,52,0.648855,9,18,6,29,53,1124,sample_id_only,1,50,5,True,True,True,True,False,True,True,True,False,False,True,False,False,False
q150,train,Pod,1,49,18,0.511111,7,7,3,11,21,281,sample_id_only,1,17,3,True,True,True,True,False,False,True,True,False,False,False,False,False,False
q151,train,Pod,1,22,16,0.864353,5,6,2,7,15,201,sample_id_only,1,11,2,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q152,train,Pod,1,76,37,0.192308,5,6,2,11,19,359,sample_id_only,1,15,2,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q153,train,Pod,1,89,75,0.520619,6,7,5,19,31,701,sample_id_only,1,27,2,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q154,train,Pod,1,27,17,0.694268,8,6,2,7,15,217,sample_id_only,1,13,4,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q155,train,Pod,1,32,22,0.679365,7,6,1,7,14,216,sample_id_only,1,12,4,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q156,train,Pod,1,100,74,0.569573,7,11,3,14,28,463,sample_id_only,1,25,4,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q157,train,Pod,1,31,23,0.754386,7,5,2,8,15,209,sample_id_only,1,12,3,True,True,True,True,True,False,False,False,False,False,False,False,False,False
q158,train,Pod,1,25,21,0.912052,6,6,2,7,15,205,sample_id_only,1,12,3,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q159,train,Pod,1,42,36,0.870555,6,10,2,15,27,455,sample_id_only,1,20,3,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q160,train,Secret,2,95,52,0.309237,7,10,3,15,28,380,sample_id_only,1,23,3,True,True,True,True,False,False,True,True,False,False,True,False,False,False
q161,train,Pod,1,40,34,0.864407,7,7,2,11,20,312,sample_id_only,1,18,4,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q162,train,Pod,1,55,30,0.317025,7,8,2,12,22,378,sample_id_only,1,19,4,True,True,True,True,True,False,False,False,False,False,False,False,False,False
q163,train,Pod,1,31,27,0.885993,7,7,4,11,22,326,sample_id_only,1,18,3,True,True,True,True,False,False,True,True,False,False,False,False,False,False
q164,train,Pod,1,44,35,0.177419,8,6,2,7,15,234,sample_id_only,1,13,4,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q165,train,Pod,1,75,35,0.073282,7,9,5,16,30,461,sample_id_only,1,24,3,True,True,True,True,False,False,True,True,False,False,False,False,False,False
q166,train,Pod,1,71,43,0.688482,6,6,5,14,25,334,sample_id_only,1,21,2,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q167,train,Pod,1,62,21,0.492754,6,8,2,11,21,326,sample_id_only,1,19,3,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q168,train,ConfigMap,2,51,41,0.74359,9,10,3,15,28,379,sample_id_only,1,24,5,True,True,True,True,False,True,False,False,False,False,True,False,False,False
q169,train,Pod,1,45,39,0.848485,9,9,4,11,24,375,sample_id_only,1,19,5,True,True,True,True,False,False,True,True,False,False,False,False,False,False
q170,train,Pod,1,61,45,0.685237,8,7,3,13,23,395,sample_id_only,1,21,4,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q171,train,Pod,1,111,61,0.546618,7,7,2,11,20,312,sample_id_only,1,18,4,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q172,train,Pod,1,82,59,0.432203,7,10,2,13,25,407,sample_id_only,1,22,4,True,True,True,True,True,False,False,False,False,False,False,False,False,False
q173,train,Pod,1,69,53,0.686239,7,7,3,17,27,442,sample_id_only,1,24,4,True,True,True,True,True,False,False,False,False,False,False,False,False,False
q174,train,Pod,1,22,17,0.675105,5,5,1,6,12,150,sample_id_only,1,10,2,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q175,train,Pod,1,32,30,0.709859,11,9,4,10,23,372,sample_id_only,1,19,6,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q176,train,Pod,1,87,63,0.672131,7,10,7,18,35,505,sample_id_only,1,28,3,True,True,True,True,True,False,True,True,False,False,False,False,False,False
q177,train,Pod,1,59,46,0.364742,9,9,3,11,23,401,sample_id_only,1,21,5,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q178,train,Pod,1,42,42,0.784185,6,6,6,13,25,332,sample_id_only,1,21,2,True,True,True,True,False,False,False,False,False,False,False,False,False,False
q179,train,Pod,1,44,32,0.783599,7,10,4,14,28,412,sample_id_only,1,24,4,True,True,True,True,False,False,True,True,False,False,False,False,False,False
