sample_id,split,document_index,kind,apiVersion,yaml_max_depth,yaml_total_nodes,question_word_count,question_simplified_word_count,target_yaml_char_count,leakage_reasons,duplicate_yaml_group_size
q101,train,0,Job,batch/v1,8,28,79,67,509,sample_id_only,1
q102,train,0,Job,batch/v1,8,19,59,45,284,sample_id_only,1
q103,test,0,Service,v1,8,30,120,96,1142,sample_id_only,1
q103,test,1,Job,batch/v1,8,30,120,96,1142,sample_id_only,1
q104,train,0,Job,batch/v1,9,40,70,50,760,sample_id_only,1
q105,train,0,Job,batch/v1,8,28,82,68,425,sample_id_only,1
q106,train,0,Job,batch/v1,8,27,70,57,413,sample_id_only,1
q107,train,0,Job,batch/v1,8,23,72,51,334,sample_id_only,1
q108,train,0,Job,batch/v1,8,21,36,27,433,sample_id_only,1
q109,train,0,Job,batch/v1,8,23,43,40,474,sample_id_only,1
q110,train,0,Job,batch/v1,8,34,25,21,503,sample_id_only,1
q110,train,1,Job,batch/v1,8,34,25,21,503,sample_id_only,1
q111,train,0,Job,batch/v1,8,18,58,43,275,sample_id_only,1
q112,train,0,Job,batch/v1,8,20,33,24,295,sample_id_only,1
q113,train,0,Job,batch/v1,8,21,30,25,312,sample_id_only,1
q114,train,0,Job,batch/v1,8,18,43,39,264,sample_id_only,1
q115,train,0,Job,batch/v1,8,20,37,23,341,sample_id_only,1
q116,train,0,Job,batch/v1,8,18,39,27,327,sample_id_only,1
q117,train,0,Job,batch/v1,9,22,42,28,330,sample_id_only,1
q118,train,0,Job,batch/v1,8,30,96,69,565,sample_id_only,1
q119,train,0,LimitRange,v1,6,13,26,16,171,sample_id_only,1
q120,train,0,LimitRange,v1,6,15,40,21,184,sample_id_only,1
q121,train,0,LimitRange,v1,6,15,48,24,187,sample_id_only,1
q122,test,0,LimitRange,v1,6,17,46,16,235,exact_yaml_duplicate,2
q123,test,0,LimitRange,v1,6,17,58,42,231,exact_yaml_duplicate,2
q124,train,0,LimitRange,v1,6,13,31,12,187,sample_id_only,1
q125,train,0,PersistentVolume,v1,4,13,35,21,204,sample_id_only,1
q126,validation,0,PersistentVolume,v1,10,25,50,35,460,exact_yaml_duplicate,2
q127,train,0,PersistentVolumeClaim,v1,5,12,54,42,190,sample_id_only,1
q128,train,0,PersistentVolume,v1,4,15,78,62,230,sample_id_only,1
q129,train,0,PersistentVolume,v1,5,31,59,48,534,sample_id_only,1
q129,train,1,PersistentVolumeClaim,v1,5,31,59,48,534,sample_id_only,1
q130,train,0,PersistentVolume,v1,4,14,70,24,222,sample_id_only,1
q131,train,0,PersistentVolume,v1,7,46,82,76,737,sample_id_only,1
q131,train,1,PersistentVolumeClaim,v1,7,46,82,76,737,sample_id_only,1
q131,train,2,Pod,v1,7,46,82,76,737,sample_id_only,1
q132,test,0,PersistentVolume,v1,7,69,110,91,1097,sample_id_only,1
q132,test,1,PersistentVolumeClaim,v1,7,69,110,91,1097,sample_id_only,1
q132,test,2,Pod,v1,7,69,110,91,1097,sample_id_only,1
q132,test,3,Pod,v1,7,69,110,91,1097,sample_id_only,1
q133,train,0,PersistentVolumeClaim,v1,5,13,48,30,189,sample_id_only,1
q134,train,0,PersistentVolume,v1,4,14,71,23,215,sample_id_only,1
q135,train,0,PersistentVolume,v1,4,14,35,22,225,sample_id_only,1
q136,train,0,PersistentVolume,v1,4,15,34,21,268,sample_id_only,1
q137,train,0,PersistentVolume,v1,4,14,23,17,237,sample_id_only,1
q138,train,0,PersistentVolume,v1,4,17,63,27,306,sample_id_only,1
q139,validation,0,PersistentVolume,v1,4,19,90,51,313,exact_yaml_duplicate,2
q140,validation,0,PersistentVolume,v1,10,25,86,49,460,exact_yaml_duplicate,2
q141,train,0,PersistentVolume,v1,5,27,49,37,428,sample_id_only,1
q141,train,1,PersistentVolumeClaim,v1,5,27,49,37,428,sample_id_only,1
q142,validation,0,PersistentVolume,v1,4,19,62,42,313,exact_yaml_duplicate,2
q143,train,0,Pod,v1,7,20,70,60,297,sample_id_only,1
q144,train,0,Pod,v1,7,28,97,99,428,sample_id_only,1
q145,train,0,Pod,v1,7,13,29,16,150,sample_id_only,1
q146,train,0,ConfigMap,v1,8,26,53,36,341,sample_id_only,1
q146,train,1,Pod,v1,8,26,53,36,341,sample_id_only,1
q147,train,0,ConfigMap,v1,7,30,41,34,404,sample_id_only,1
q147,train,1,Pod,v1,7,30,41,34,404,sample_id_only,1
q148,train,0,ConfigMap,v1,7,44,59,50,599,sample_id_only,1
q148,train,1,ConfigMap,v1,7,44,59,50,599,sample_id_only,1
q148,train,2,Pod,v1,7,44,59,50,599,sample_id_only,1
q149,train,0,ConfigMap,v1,9,53,56,52,1124,sample_id_only,1
q149,train,1,Pod,v1,9,53,56,52,1124,sample_id_only,1
q150,train,0,Pod,v1,7,21,49,18,281,sample_id_only,1
q151,train,0,Pod,v1,5,15,22,16,201,sample_id_only,1
q152,train,0,Pod,v1,5,19,76,37,359,sample_id_only,1
q153,train,0,Pod,v1,6,31,89,75,701,sample_id_only,1
q154,train,0,Pod,v1,8,15,27,17,217,sample_id_only,1
q155,train,0,Pod,v1,7,14,32,22,216,sample_id_only,1
q156,train,0,Pod,v1,7,28,100,74,463,sample_id_only,1
q157,train,0,Pod,v1,7,15,31,23,209,sample_id_only,1
q158,train,0,Pod,v1,6,15,25,21,205,sample_id_only,1
q159,train,0,Pod,v1,6,27,42,36,455,sample_id_only,1
q160,train,0,Secret,v1,7,28,95,52,380,sample_id_only,1
q160,train,1,Pod,v1,7,28,95,52,380,sample_id_only,1
q161,train,0,Pod,v1,7,20,40,34,312,sample_id_only,1
q162,train,0,Pod,v1,7,22,55,30,378,sample_id_only,1
q163,train,0,Pod,v1,7,22,31,27,326,sample_id_only,1
q164,train,0,Pod,v1,8,15,44,35,234,sample_id_only,1
q165,train,0,Pod,v1,7,30,75,35,461,sample_id_only,1
q166,train,0,Pod,v1,6,25,71,43,334,sample_id_only,1
q167,train,0,Pod,v1,6,21,62,21,326,sample_id_only,1
q168,train,0,ConfigMap,v1,9,28,51,41,379,sample_id_only,1
q168,train,1,Pod,v1,9,28,51,41,379,sample_id_only,1
q169,train,0,Pod,v1,9,24,45,39,375,sample_id_only,1
q170,train,0,Pod,v1,8,23,61,45,395,sample_id_only,1
q171,train,0,Pod,v1,7,20,111,61,312,sample_id_only,1
q172,train,0,Pod,v1,7,25,82,59,407,sample_id_only,1
q173,train,0,Pod,v1,7,27,69,53,442,sample_id_only,1
q174,train,0,Pod,v1,5,12,22,17,150,sample_id_only,1
q175,train,0,Pod,v1,11,23,32,30,372,sample_id_only,1
q176,train,0,Pod,v1,7,35,87,63,505,sample_id_only,1
q177,train,0,Pod,v1,9,23,59,46,401,sample_id_only,1
q178,train,0,Pod,v1,6,25,42,42,332,sample_id_only,1
q179,train,0,Pod,v1,7,28,44,32,412,sample_id_only,1
q180,test,0,Pod,v1,9,30,124,49,548,sample_id_only,1
q181,train,0,Pod,v1,8,20,86,68,273,sample_id_only,1
q182,train,0,Pod,v1,7,24,55,47,440,sample_id_only,1
q183,train,0,Pod,v1,7,24,65,58,330,sample_id_only,1
q184,train,0,Pod,v1,7,30,88,55,488,sample_id_only,1
q185,train,0,Pod,v1,7,24,62,32,305,sample_id_only,1
q186,train,0,Pod,v1,9,21,56,38,393,sample_id_only,1
q187,train,0,Pod,v1,8,18,44,41,275,sample_id_only,1
q188,train,0,Pod,v1,7,23,71,60,396,sample_id_only,1
q189,train,0,Pod,v1,7,18,57,33,238,sample_id_only,1
q190,train,0,Pod,v1,9,29,64,49,411,sample_id_only,1
q191,train,0,NetworkPolicy,networking.k8s.io/v1,5,11,18,16,167,sample_id_only,1
q192,train,0,PodDisruptionBudget,policy/v1,5,10,28,28,146,sample_id_only,1
q193,train,0,ReplicaSet,apps/v1,7,21,33,22,328,sample_id_only,1
q194,test,0,Pod,v1,7,46,108,94,659,sample_id_only,1
q194,test,1,Pod,v1,7,46,108,94,659,sample_id_only,1
q194,test,2,ReplicaSet,apps/v1,7,46,108,94,659,sample_id_only,1
q195,test,0,ReplicaSet,apps/v1,9,34,113,62,586,sample_id_only,1
q195,test,1,HorizontalPodAutoscaler,autoscaling/v1,9,34,113,62,586,sample_id_only,1
q196,train,0,ReplicaSet,apps/v1,9,26,60,48,470,sample_id_only,1
q197,train,0,ReplicaSet,apps/v1,9,23,69,44,370,sample_id_only,1
q198,train,0,ReplicaSet,apps/v1,9,23,57,39,367,sample_id_only,1
q199,train,0,ReplicaSet,apps/v1,8,22,31,22,339,sample_id_only,1
q200,train,0,ReplicaSet,apps/v1,9,29,34,23,415,sample_id_only,1
q201,train,0,ReplicaSet,apps/v1,7,20,44,32,334,sample_id_only,1
q202,train,0,ReplicaSet,apps/v1,9,32,84,49,465,sample_id_only,1
q203,train,0,ReplicaSet,apps/v1,7,22,60,44,323,sample_id_only,1
q204,train,0,ReplicationController,v1,9,25,41,27,361,sample_id_only,1
q205,test,0,ReplicationController,v1,9,54,72,62,903,sample_id_only,1
q206,train,0,ReplicationController,v1,9,33,88,73,534,sample_id_only,1
q207,train,0,ResourceQuota,v1,7,17,52,24,242,sample_id_only,1
q208,train,0,ResourceQuota,v1,4,11,30,20,180,sample_id_only,1
q209,train,0,ResourceQuota,v1,4,10,32,28,149,sample_id_only,1
q210,train,0,ResourceQuota,v1,7,13,29,24,211,sample_id_only,1
q211,train,0,ClusterRole,rbac.authorization.k8s.io/v1,5,15,25,22,186,sample_id_only,1
q212,test,0,RoleBinding,rbac.authorization.k8s.io/v1,4,15,45,24,277,exact_yaml_duplicate,2
q213,test,0,RoleBinding,rbac.authorization.k8s.io/v1,4,15,46,30,277,exact_yaml_duplicate,2
q214,train,0,ClusterRoleBinding,rbac.authorization.k8s.io/v1,4,14,25,19,271,sample_id_only,1
q215,train,0,ClusterRole,rbac.authorization.k8s.io/v1,5,31,41,20,331,sample_id_only,1
q216,train,0,ClusterRole,rbac.authorization.k8s.io/v1,5,37,83,62,404,sample_id_only,1
q217,train,0,ClusterRole,rbac.authorization.k8s.io/v1,5,38,60,52,412,sample_id_only,1
q218,train,0,ServiceAccount,v1,5,45,91,72,684,sample_id_only,1
q218,train,1,ClusterRole,rbac.authorization.k8s.io/v1,5,45,91,72,684,sample_id_only,1
q218,train,2,ClusterRoleBinding,rbac.authorization.k8s.io/v1,5,45,91,72,684,sample_id_only,1
q219,train,0,RoleBinding,rbac.authorization.k8s.io/v1,4,13,21,19,205,sample_id_only,1
q220,train,0,ClusterRole,rbac.authorization.k8s.io/v1,5,15,21,15,213,sample_id_only,1
q221,train,0,ClusterRole,rbac.authorization.k8s.io/v1,5,14,29,17,180,sample_id_only,1
q222,train,0,Role,rbac.authorization.k8s.io/v1,5,29,45,33,435,sample_id_only,1
q222,train,1,RoleBinding,rbac.authorization.k8s.io/v1,5,29,45,33,435,sample_id_only,1
q223,train,0,RoleBinding,rbac.authorization.k8s.io/v1,4,15,68,39,267,sample_id_only,1
q224,test,0,RoleBinding,rbac.authorization.k8s.io/v1,4,16,32,19,270,exact_yaml_duplicate,2
q225,test,0,RoleBinding,rbac.authorization.k8s.io/v1,4,16,46,45,266,exact_yaml_duplicate,2
q226,train,0,Role,rbac.authorization.k8s.io/v1,5,30,47,37,425,sample_id_only,1
q226,train,1,RoleBinding,rbac.authorization.k8s.io/v1,5,30,47,37,425,sample_id_only,1
q227,train,0,RoleBinding,rbac.authorization.k8s.io/v1,4,16,59,36,260,sample_id_only,1
q228,train,0,Secret,v1,3,7,33,20,103,sample_id_only,1
q229,train,0,Secret,v1,3,9,63,52,1304,sample_id_only,1
q230,train,0,Secret,v1,3,12,43,31,268,sample_id_only,1
q231,train,0,Secret,v1,3,9,35,27,117,sample_id_only,1
q232,train,0,Secret,v1,4,10,74,23,193,sample_id_only,1
q233,train,0,Secret,v1,3,9,84,33,147,sample_id_only,1
q234,train,0,Secret,v1,3,10,108,90,155,sample_id_only,1
q235,train,0,Secret,v1,3,9,19,14,113,sample_id_only,1
q236,train,0,Secret,v1,7,31,41,33,515,sample_id_only,1
q236,train,1,Pod,v1,7,31,41,33,515,sample_id_only,1
q237,train,0,Secret,v1,7,31,63,46,535,sample_id_only,1
q237,train,1,Pod,v1,7,31,63,46,535,sample_id_only,1
q238,train,0,Secret,v1,3,9,28,20,137,sample_id_only,1
q239,train,0,Secret,v1,3,8,46,40,226,sample_id_only,1
q240,train,0,Service,v1,5,14,58,54,181,sample_id_only,1
q241,train,0,Service,v1,5,13,55,24,167,sample_id_only,1
q242,train,0,Service,v1,5,21,47,28,279,sample_id_only,1
q243,train,0,Service,v1,5,13,28,20,159,sample_id_only,1
q244,train,0,Service,v1,5,23,44,31,431,sample_id_only,1
q245,train,0,Service,v1,5,18,43,31,251,sample_id_only,1
q246,train,0,Deployment,apps/v1,9,35,72,46,496,sample_id_only,1
q246,train,1,Service,v1,9,35,72,46,496,sample_id_only,1
q247,train,0,Service,v1,5,13,44,29,155,sample_id_only,1
q248,train,0,Service,v1,5,21,55,38,302,sample_id_only,1
q249,train,0,Service,v1,5,11,48,23,124,sample_id_only,1
q250,train,0,Service,v1,5,15,77,30,187,sample_id_only,1
q251,train,0,Service,v1,5,17,59,54,219,sample_id_only,1
q252,train,0,Service,v1,6,24,37,28,268,sample_id_only,1
q252,train,1,Endpoints,v1,6,24,37,28,268,sample_id_only,1
q253,train,0,Service,v1,5,15,26,25,231,sample_id_only,1
q254,train,0,Service,v1,5,18,34,33,275,sample_id_only,1
q255,train,0,Service,v1,5,16,33,32,230,sample_id_only,1
q256,train,0,Service,v1,5,25,78,34,358,sample_id_only,1
q257,test,0,Service,v1,5,12,176,59,187,sample_id_only,1
q258,train,0,Service,v1,5,16,66,59,247,sample_id_only,1
q259,train,0,Service,v1,3,8,61,61,149,sample_id_only,1
q260,train,0,ServiceAccount,v1,3,5,68,39,61,sample_id_only,1
q261,train,0,ServiceAccount,v1,3,5,12,8,64,sample_id_only,1
q262,train,0,ServiceAccount,v1,4,8,24,24,176,sample_id_only,1
q263,train,0,ServiceAccount,v1,5,34,54,27,486,sample_id_only,1
q263,train,1,Role,rbac.authorization.k8s.io/v1,5,34,54,27,486,sample_id_only,1
q263,train,2,RoleBinding,rbac.authorization.k8s.io/v1,5,34,54,27,486,sample_id_only,1
q264,test,0,Service,v1,9,54,77,60,807,sample_id_only,1
q264,test,1,StatefulSet,apps/v1,9,54,77,60,807,sample_id_only,1
q265,train,0,StatefulSet,apps/v1,9,46,80,66,809,sample_id_only,1
q265,train,1,StorageClass,storage.k8s.io/v1,9,46,80,66,809,sample_id_only,1
q266,train,0,StatefulSet,apps/v1,10,35,79,60,657,sample_id_only,1
q267,train,0,PodDisruptionBudget,policy/v1,7,33,72,59,538,sample_id_only,1
q267,train,1,StatefulSet,apps/v1,7,33,72,59,538,sample_id_only,1
q268,test,0,StatefulSet,apps/v1,13,48,76,65,1010,sample_id_only,1
q269,train,0,StatefulSet,apps/v1,8,33,60,55,552,sample_id_only,1
q270,train,0,StatefulSet,apps/v1,9,34,77,62,559,sample_id_only,1
q271,train,0,Service,v1,9,53,65,51,773,sample_id_only,1
q271,train,1,StatefulSet,apps/v1,9,53,65,51,773,sample_id_only,1
q272,train,0,Service,v1,9,53,68,45,782,sample_id_only,1
q272,train,1,StatefulSet,apps/v1,9,53,68,45,782,sample_id_only,1
q273,train,0,Service,v1,9,54,51,36,810,sample_id_only,1
q273,train,1,StatefulSet,apps/v1,9,54,51,36,810,sample_id_only,1
q274,train,0,Service,v1,9,40,67,28,552,sample_id_only,1
q274,train,1,StatefulSet,apps/v1,9,40,67,28,552,sample_id_only,1
q275,train,0,StatefulSet,apps/v1,9,29,50,25,492,sample_id_only,1
q276,train,0,StatefulSet,apps/v1,9,36,70,59,614,sample_id_only,1
q277,train,0,StatefulSet,apps/v1,9,36,78,70,645,sample_id_only,1
q278,train,0,StorageClass,storage.k8s.io/v1,3,13,47,27,236,sample_id_only,1
q279,test,0,StorageClass,storage.k8s.io/v1,7,39,100,59,653,sample_id_only,1
q279,test,1,PersistentVolumeClaim,v1,7,39,100,59,653,sample_id_only,1
q279,test,2,Pod,v1,7,39,100,59,653,sample_id_only,1
q280,train,0,StorageClass,storage.k8s.io/v1,7,17,43,24,314,sample_id_only,1
q281,train,0,StorageClass,storage.k8s.io/v1,3,7,48,33,158,sample_id_only,1
q282,train,0,StorageClass,storage.k8s.io/v1,3,10,69,21,188,sample_id_only,1
q283,train,0,StorageClass,storage.k8s.io/v1,5,18,61,39,296,sample_id_only,1
q283,train,1,PersistentVolumeClaim,v1,5,18,61,39,296,sample_id_only,1
q284,train,0,StorageClass,storage.k8s.io/v1,5,18,58,26,297,sample_id_only,1
q284,train,1,PersistentVolumeClaim,v1,5,18,58,26,297,sample_id_only,1
